продукты,200,чипсеки,2021-10-15T00:00:00
продукты,300,чипсеки,2021-10-16T00:00:00
тачка,1000,бенз,2021-10-17T00:00:00
продукты,555,донеры,2021-10-15T00:00:00
продукты,333,пиво,2021-10-17T00:00:00
продукты,444,павпвапвпа,2021-10-14T00:00:00
тачка,s,gtrccd,2021-11-11T00:00:00
продукты,s,gtrccd,2021-11-11T00:00:00
тачка,s,gtrccd,2021-11-11T00:00:00
продукты,200,название,2021-10-15T00:00:00
продукты,200,тест,2021-10-15T00:00:00
продукты,200,10123a,2021-10-15T00:00:00
продукты,200,asdasd,2021-10-15T00:00:00
продукты,200,тест,2021-10-15T00:00:00
продукты,200,пивас,2021-10-17T00:00:00
продукты,500,asdasd,2021-10-15T00:00:00
продукты,333,fghfgh,2021-10-12T00:00:00
продукты,2,asdasd,2021-10-15T00:00:00
продукты,200,asdd,2021-10-15T00:00:00
